date,description,amount,currency
2026-04-07,Uber Eats - Pizza,28.50,GBP
2026-04-07,Tesco Grocery,67.20,GBP
2026-04-08,Uber Eats - Thai food,24.00,GBP
2026-04-08,Netflix subscription,15.99,GBP
2026-04-08,Costa Coffee,4.50,GBP
2026-04-09,Uber Eats - Sushi,31.00,GBP
2026-04-09,Transport for London,8.40,GBP
2026-04-10,Whole Foods,43.10,GBP
2026-04-10,Amazon purchase,67.99,GBP
2026-04-11,Uber Eats - Indian,26.50,GBP
2026-04-11,Dining - Restaurant,45.00,GBP
2026-04-12,Gym membership,49.99,GBP
2026-04-13,Tesco Express,18.40,GBP
